date,ticker,price
2024-01-01,AAPL,149.69774835084306
2024-01-02,AAPL,150.0611341554999
2024-01-03,AAPL,151.29664248528184
2024-01-04,AAPL,149.8677105569436
2024-01-05,AAPL,148.07124091868624
2024-01-06,AAPL,148.69887225219014
2024-01-07,AAPL,147.54382142878626
2024-01-08,AAPL,148.53410905898082
2024-01-09,AAPL,149.07249793470407
2024-01-10,AAPL,151.03966143371667
2024-01-11,AAPL,152.03210543936189
2024-01-12,AAPL,151.42307320665356
2024-01-13,AAPL,150.89160896452103
2024-01-14,AAPL,148.02957804018328
2024-01-15,AAPL,148.68904794425862
2024-01-16,AAPL,149.28067287764566
2024-01-17,AAPL,150.05322440787822
2024-01-18,AAPL,150.23469758486988
2024-01-19,AAPL,149.7124320539988
2024-01-20,AAPL,150.15342185381647
